t,O2,H2,H2O,Cl2,HCl
0.93,0.5522013830308167,0.46110578693162574,0.8955972339383675,0.3567030208699929,1.2865939582600143
0.9400000000000001,0.5519773127212945,0.45767854939335223,0.8960453745574121,0.3537239239507639,1.2925521520984722
0.9500000000000001,0.5517559957089454,0.4543034395242352,0.8964880085821103,0.3507914481063451,1.2984171037873098
0.96,0.5515373577772644,0.4509792583821845,0.8969252844454723,0.3479045428276564,1.304190914344687
0.97,0.5513213280306666,0.4477048439866485,0.897357343938668,0.3450621879253162,1.3098756241493676
0.98,0.5511078386972724,0.4444790698854837,0.8977843226054564,0.3422633924909398,1.3154732150181205
0.99,0.550896824945613,0.4413008437890791,0.8982063501087751,0.33950719389785394,1.3209856122042922
1,0.5506882247141426,0.43816910626801,0.8986235505717158,0.33679265683972553,1.326414686320549
1.01,0.5504819785525443,0.4350828295107362,0.8990360428949123,0.33411887240564825,1.3317622551887036
1.02,0.5502780294739039,0.43204101613808,0.899443941052193,0.3314849571902728,1.3370300856194544
1.03,0.5500763228169067,0.4290426980714258,0.8998473543661876,0.32889005243761316,1.3422198951247737
1.04,0.5498768061172851,0.4260869354517737,0.9002463877654309,0.32633332321720426,1.3473333535655916
1.05,0.5496794289878109,0.4231728156069556,0.9006411420243794,0.3238139576313347,1.3523720847373308
1.06,0.5494841430061848,0.42029945206448904,0.9010317139876316,0.3213311660521203,1.3573376678957596
1.07,0.5492909016102319,0.4174659836076946,0.9014181967795373,0.3188841803872316,1.3622316392255371
1.08,0.5490996599998589,0.41467157337284727,0.9018006800002831,0.3164722533731301,1.36705549325374
1.09,0.5489103750452755,0.4119154079852641,0.9021792499094498,0.3140946578947136,1.371810684210573
1.1,0.5487230052010221,0.40919669673235426,0.9025539895979564,0.31175068633031044,1.3764986273393793
1.11,0.5485375104253835,0.4065146707717735,0.9029249791492336,0.309439649921007,1.3811207001579864
1.12,0.5483538521048017,0.4038685823729324,0.9032922957903972,0.30716087816332943,1.3856782436733415
1.1300000000000001,0.548171992982933,0.40125770419020823,0.9036560140341346,0.30491371822434277,1.3901725635513147
1.1400000000000001,0.5479918970940202,0.39868132856630567,0.9040162058119602,0.3026975343782657,1.3946049312434687
1.1500000000000001,0.5478135297002801,0.3961387668642974,0.9043729405994403,0.30051170746373757,1.398976585072525
1.16,0.5476368572330259,0.3936293488269601,0.9047262855339485,0.2983556343609085,1.4032887312781832
1.17,0.5474618472372694,0.39115242196209704,0.9050763055254615,0.2962287274875584,1.4075425450248835
1.18,0.5472884683195647,0.3887073509526112,0.905423063360871,0.29413041431348214,1.411739171373036
1.19,0.5471166900988748,0.3862935170901607,0.9057666198022508,0.2920601368924115,1.4158797262151774
1.2,0.5469464831602588,0.38391031773129086,0.9061070336794826,0.2900173514107735,1.4199652971784535
1.21,0.5467778190111922,0.3815571657749986,0.9064443619776159,0.28800152775261456,1.4239969444947713
1.22,0.5466106700403455,0.3792334891607386,0.9067786599193094,0.2860121490800481,1.4279757018399044
1.23,0.5464450094786629,0.3769387303859348,0.9071099810426746,0.28404871142860944,1.4319025771427818
1.24,0.5462808113625903,0.3746723460421093,0.9074383772748199,0.28211072331692927,1.4357785533661422
1.25,0.5461180504993147,0.37243380636878826,0.9077638990013712,0.2801977053701595,1.4396045892596818
1.26,0.5459567024338877,0.3702225948243858,0.9080865951322253,0.27830918995661114,1.4433816200867786
1.27,0.5457967434181131,0.36803820767331125,0.9084065131637745,0.27644472083708577,1.4471105583258292
1.28,0.5456381503810889,0.3658801535885805,0.9087236992378229,0.2746038528264034,1.450792294347194
1.29,0.5454809009012999,0.363747953269251,0.9090381981974008,0.27278615146665186,1.4544276970666972
1.3,0.5453249731801664,0.3616411390720335,0.9093500536396677,0.2709911927117012,1.4580176145765984
1.31,0.5451703460169592,0.35955925465646543,0.909659307966082,0.26921856262254734,1.461562874754906
1.32,0.5450169987849985,0.3575018546430629,0.9099660024300033,0.2674678570730661,1.4650642858538685
1.33,0.5448649114090591,0.35546850428389515,0.9102701771818821,0.2657386814657771,1.4685226370684463
1.34,0.5447140643439105,0.35345877914505475,0.9105718713121795,0.2640306504572341,1.4719386990855323
